,NAME,START
0,1. Verification of Boolean Theorems using basic gates. (1/11),2023-09-04
1,1. Verification of Boolean Theorems using basic gates. (2/11),2023-09-05
2,1. Verification of Boolean Theorems using basic gates. (3/11),2023-09-06
3,1. Verification of Boolean Theorems using basic gates. (4/11),2023-09-07
4,1. Verification of Boolean Theorems using basic gates. (5/11),2023-09-08
5,1. Verification of Boolean Theorems using basic gates. (6/11),2023-09-09
6,1. Verification of Boolean Theorems using basic gates. (7/11),2023-09-10
7,1. Verification of Boolean Theorems using basic gates. (8/11),2023-09-11
8,1. Verification of Boolean Theorems using basic gates. (9/11),2023-09-12
9,1. Verification of Boolean Theorems using basic gates. (10/11),2023-09-13
10,1. Verification of Boolean Theorems using basic gates. (11/11),2023-09-14
11,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (1/12)",2023-09-15
12,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (2/12)",2023-09-16
13,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (3/12)",2023-09-17
14,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (4/12)",2023-09-18
15,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (5/12)",2023-09-19
16,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (6/12)",2023-09-20
17,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (7/12)",2023-09-21
18,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (8/12)",2023-09-22
19,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (9/12)",2023-09-23
20,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (10/12)",2023-09-24
21,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (11/12)",2023-09-25
22,"2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters. (12/12)",2023-09-26
23,3. Design and implement half/full adder and subtractor. (1/12),2023-09-27
24,3. Design and implement half/full adder and subtractor. (2/12),2023-09-28
25,3. Design and implement half/full adder and subtractor. (3/12),2023-09-29
26,3. Design and implement half/full adder and subtractor. (4/12),2023-09-30
27,3. Design and implement half/full adder and subtractor. (5/12),2023-10-01
28,3. Design and implement half/full adder and subtractor. (6/12),2023-10-02
29,3. Design and implement half/full adder and subtractor. (7/12),2023-10-03
30,3. Design and implement half/full adder and subtractor. (8/12),2023-10-04
31,3. Design and implement half/full adder and subtractor. (9/12),2023-10-05
32,3. Design and implement half/full adder and subtractor. (10/12),2023-10-06
33,3. Design and implement half/full adder and subtractor. (11/12),2023-10-07
34,3. Design and implement half/full adder and subtractor. (12/12),2023-10-08
35,"4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers (1/12)",2023-10-09
