TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,DL-W4: Gradient Descent (GD),,2,,,,2024-02-20,en,
task,DL-W4:  Momentum Based GD,,2,,,,2024-02-20,en,
task,DL-W4:  Nesterov Accelerated GD,,2,,,,2024-02-20,en,
task,DL-W4:  Stochastic GD,,2,,,,2024-02-20,en,
task,DL-W4:  AdaGrad,,2,,,,2024-02-20,en,
task,DL-W4:  RMSProp,,2,,,,2024-02-20,en,
task,DL-W4:  Adam,,2,,,,2024-02-20,en,
task,DL-W4:  Eigenvalues and eigenvectors,,2,,,,2024-02-20,en,
task,DL-W4:  Eigenvalue Decomposition,,2,,,,2024-02-20,en,
task,DL-W4:  Basis,,2,,,,2024-02-20,en,
task,DL-W5: Principal Component Analysis and its interpretations,,2,,,,2024-02-21,en,
task,DL-W5:  Singular Value Decomposition,,2,,,,2024-02-24,en,
task,DL-W6: Autoencoders and relation to PCA,,2,,,,2024-02-28,en,
task,DL-W6:  Regularization in autoencoders,,2,,,,2024-02-29,en,
task,DL-W6:  Denoising autoencoders,,2,,,,2024-03-01,en,
task,DL-W6:  Sparse autoencoders,,2,,,,2024-03-03,en,
task,DL-W6:  Contractive autoencoders,,2,,,,2024-03-04,en,
task,DL-W7: Regularization: Bias Variance Tradeoff,,2,,,,2024-03-06,en,
task,DL-W7:  L2 regularization,,2,,,,2024-03-06,en,
task,DL-W7:  Early stopping,,2,,,,2024-03-07,en,
task,DL-W7:  Dataset augmentation,,2,,,,2024-03-08,en,
task,DL-W7:  Parameter sharing and tying,,2,,,,2024-03-09,en,
task,DL-W7:  Injecting noise at input,,2,,,,2024-03-10,en,
task,DL-W7:  Ensemble methods,,2,,,,2024-03-11,en,
task,DL-W7:  Dropout,,2,,,,2024-03-12,en,
task,DL-W8: Greedy Layerwise Pre-training,,2,,,,2024-03-13,en,
task,DL-W8:  Better activation functions,,2,,,,2024-03-14,en,
task,DL-W8:  Better weight initialization methods,,2,,,,2024-03-16,en,
task,DL-W8:  Batch Normalization,,2,,,,2024-03-18,en,
task,DL-W9: Learning Vectorial Representations Of Words,,2,,,,2024-03-20,en,
task,DL-W10: Convolutional Neural Networks,,2,,,,2024-03-27,en,
task,DL-W10:  LeNet,,2,,,,2024-03-27,en,
task,DL-W10:  AlexNet,,2,,,,2024-03-28,en,
task,DL-W10:  ZF-Net,,2,,,,2024-03-28,en,
task,DL-W10:  VGGNet,,2,,,,2024-03-29,en,
task,DL-W10:  GoogLeNet,,2,,,,2024-03-29,en,
task,DL-W10:  ResNet,,2,,,,2024-03-30,en,
task,DL-W10:  Visualizing Convolutional Neural Networks,,2,,,,2024-03-31,en,
task,DL-W10:  Guided Backpropagation,,2,,,,2024-03-31,en,
task,DL-W10:  Deep Dream,,2,,,,2024-04-01,en,
task,DL-W10:  Deep Art,,2,,,,2024-04-01,en,
task,DL-W10:  Fooling Convolutional Neural Networks,,2,,,,2024-04-02,en,
task,DL-W11: Recurrent Neural Networks,,2,,,,2024-04-03,en,
task,DL-W11:  Backpropagation through time (BPTT),,2,,,,2024-04-04,en,
task,DL-W11:  Vanishing and Exploding Gradients,,2,,,,2024-04-05,en,
task,DL-W11:  Truncated BPTT,,2,,,,2024-04-06,en,
task,DL-W11:  GRU,,2,,,,2024-04-07,en,
task,DL-W11:  LSTMs,,2,,,,2024-04-08,en,
task,DL-W12: Encoder Decoder Models,,2,,,,2024-04-10,en,
task,DL-W12:  Attention Mechanism,,2,,,,2024-04-12,en,
task,DL-W12:  Attention over images,,2,,,,2024-04-14,en,
