TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Eng-I: Value Education (1/1),,,,,,2023-09-07,,
task,OOP-I: Principles of OOP: Classes (1/2),,,,,,2023-09-07,,
task,DD-I: Number Systems (1/2),,,,,,2023-09-07,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (1/11),,,,,,2023-09-07,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (1/9),,,,,,2023-09-07,,
task,Math-I: Propositional Logic (1/3),,,,,,2023-09-07,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (1/12),,,,,,2023-09-07,,
task,DSA-I: Algorithm Analysis: Running time calculations (1/3),,,,,,2023-09-07,,
task,Math-I: Propositional Logic (2/3),,,,,,2023-09-08,,
task,OOP-I: Principles of OOP: Classes (2/2),,,,,,2023-09-08,,
task,Eng-I: Need (1/2),,,,,,2023-09-08,,
task,DSA-I: Algorithm Analysis: Running time calculations (2/3),,,,,,2023-09-08,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (2/9),,,,,,2023-09-08,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (2/11),,,,,,2023-09-08,,
task,DD-I: Number Systems (2/2),,,,,,2023-09-08,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (2/12),,,,,,2023-09-08,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (3/9),,,,,,2023-09-09,,
task,Math-I: Propositional Logic (3/3),,,,,,2023-09-09,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (3/12),,,,,,2023-09-09,,
task,DD-I: Arithmetic Operations (1/3),,,,,,2023-09-09,,
task,OOP-I: Objects (1/2),,,,,,2023-09-09,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (3/11),,,,,,2023-09-09,,
task,DSA-I: Algorithm Analysis: Running time calculations (3/3),,,,,,2023-09-09,,
task,Eng-I: Need (2/2),,,,,,2023-09-09,,
task,Eng-I: Basic Guidelines (1/2),,,,,,2023-09-10,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (4/11),,,,,,2023-09-10,,
task,DSA-I: Abstract Data Types (ADTs) (1/3),,,,,,2023-09-10,,
task,Math-I: Propositional equivalences (1/3),,,,,,2023-09-10,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (4/12),,,,,,2023-09-10,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (4/9),,,,,,2023-09-10,,
task,OOP-I: Objects (2/2),,,,,,2023-09-10,,
task,DD-I: Arithmetic Operations (2/3),,,,,,2023-09-10,,
task,DD-I: Arithmetic Operations (3/3),,,,,,2023-09-11,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (5/12),,,,,,2023-09-11,,
task,Math-I: Propositional equivalences (2/3),,,,,,2023-09-11,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (5/9),,,,,,2023-09-11,,
task,Eng-I: Basic Guidelines (2/2),,,,,,2023-09-11,,
task,OOP-I: Data hiding (1/2),,,,,,2023-09-11,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (5/11),,,,,,2023-09-11,,
task,DSA-I: Abstract Data Types (ADTs) (2/3),,,,,,2023-09-11,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (6/12),,,,,,2023-09-12,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (6/9),,,,,,2023-09-12,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (6/11),,,,,,2023-09-12,,
task,DSA-I: Abstract Data Types (ADTs) (3/3),,,,,,2023-09-12,,
task,OOP-I: Data hiding (2/2),,,,,,2023-09-12,,
task,Eng-I: Content and Process (1/2),,,,,,2023-09-12,,
task,DD-I: Binary Codes (1/3),,,,,,2023-09-12,,
task,Math-I: Propositional equivalences (3/3),,,,,,2023-09-12,,
task,DD-I: Binary Codes (2/3),,,,,,2023-09-13,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (7/11),,,,,,2023-09-13,,
task,OOP-I: Data encapsulation (1/2),,,,,,2023-09-13,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (7/12),,,,,,2023-09-13,,
task,DSA-I: List ADT: Array implementation of lists (1/3),,,,,,2023-09-13,,
task,Eng-I: Content and Process (2/2),,,,,,2023-09-13,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (7/9),,,,,,2023-09-13,,
task,Math-I: Predicates and quantifiers (1/3),,,,,,2023-09-13,,
task,DSA-I: List ADT: Array implementation of lists (2/3),,,,,,2023-09-14,,
task,DD-I: Binary Codes (3/3),,,,,,2023-09-14,,
task,Eng-I: Self-Exploration (1/2),,,,,,2023-09-14,,
task,OOP-I: Data encapsulation (2/2),,,,,,2023-09-14,,
task,OOP Lab: 1. Build an application using classes and objects (Eg: Electricity bill generation) (8/12),,,,,,2023-09-14,,
task,DD Lab: 1. Verification of Boolean Theorems using basic gates. (8/11),,,,,,2023-09-14,,
task,DSA Lab: 1. Represent polynomial expression as linked list and write functions for polynomial manipulation (8/9),,,,,,2023-09-14,,
task,Math-I: Predicates and quantifiers (2/3),,,,,,2023-09-14,,
